#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-22T23:12:50 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-22T23:12:50	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=200
#-order=I
#-out.src=J/A+A/605/A89/tablea2
#-nav=cat:J/A+A/605/A89&tab:{J/A+A/605/A89/tablea2}&key:source=J/A+A/605/A89/tablea2&HTTPPRM:&&-ref=VIZ650e1f34203eae&-out.max=200&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=EW/A&-ignore=EW/A=*&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Tmax&-out=Amax&-out=[Fe/H]&-out=e_[Fe/H]&-out=HRV&-out=vGC&-out=M&-out=Age&-out=(V-I)0&-out=VMAG&-out=IMAGmu&-out=(V-I)0mu&-out=Teffmu&-out=[Na/Fe]&-out=[Mg/Fe]&-out=[Al/Fe]&-out=[Si/Fe]&-out=[Ca/Fe]&-out=[Ti/Fe]&-out=[Cr/Fe]&-out=[Ni/Fe]&-out=[Zn/Fe]&-out=[Y/Fe]&-out=[Ba/Fe]&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/605/A89/tablea2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/605/A89/tablea2
#-out=EW/A
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Tmax
#-out=Amax
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=HRV
#-out=vGC
#-out=M
#-out=Age
#-out=(V-I)0
#-out=VMAG
#-out=IMAGmu
#-out=(V-I)0mu
#-out=Teffmu
#-out=[Na/Fe]
#-out=[Mg/Fe]
#-out=[Al/Fe]
#-out=[Si/Fe]
#-out=[Ca/Fe]
#-out=[Ti/Fe]
#-out=[Cr/Fe]
#-out=[Ni/Fe]
#-out=[Zn/Fe]
#-out=[Y/Fe]
#-out=[Ba/Fe]
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=200	

#RESOURCE=yCat_36050089
#Name: J/A+A/605/A89
#Title: Abundances of microlensed Bulge dwarf stars. VI. (Bensby+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/605/a89	
#INFO	publisher=CDS	
#INFO	creator=Bensby T.	
#INFO	related_resource=bibcode:2017A&A...605A..89B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/605/A89	
#INFO	publication_id=doi:10.26093/cds/vizier.36050089	
#INFO	publication_date=2019-01-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_605_A89_tablea2:
#Name: J/A+A/605/A89/tablea2
#Title: Abundance ratios and uncertainties, stellar parameters, radial velocities, stellar ages, masses, photometry, and more
#Column	EW/A	(A4)	Display the equivalent widht and abundance of tablea1	[ucd=meta.ref.url]
#Column	Name	(A19)	Name of microlensing source star	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Tmax	(F7.2)	Time of maximum magnification (HJD)	[ucd=time.epoch]
#Column	Amax	(I4)	? Maximum magnification	[ucd=phot.mag;arith.ratio]
#Column	[Fe/H]	(F5.2)	Iron abundance normalised to Sun	[ucd=phys.abund.Fe]
#Column	e_[Fe/H]	(F5.2)	Iron abundance uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	HRV	(F7.1)	Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	vGC	(F7.1)	Galactocentric radial velocity	[ucd=spect.dopplerVeloc;pos.galactocentric]
#Column	M	(F5.2)	Stellar mass	[ucd=phys.mass]
#Column	Age	(F4.1)	Stellar age	[ucd=time.age]
#Column	(V-I)0	(F5.2)	(V-I)_0 colour from spectroscopy	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	VMAG	(F5.2)	Absolute V magnitude from spectroscopy	[ucd=phys.magAbs;em.opt.V]
#Column	IMAGmu	(F5.2)	? Absolute I magnitude from microlensing	[ucd=phys.magAbs]
#Column	(V-I)0mu	(F5.2)	? Colour from microlensing	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Teffmu	(I4)	? Effective temperature from microlensing	[ucd=phys.temperature.effective]
#Column	[Na/Fe]	(F5.2)	? [Na/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Mg/Fe]	(F5.2)	? [Mg/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Al/Fe]	(F5.2)	? [Al/Fe] normalised abundance ratio	[ucd=phys.abund]
#Column	[Si/Fe]	(F5.2)	? [Si/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Ca/Fe]	(F5.2)	? [Ca/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Ti/Fe]	(F5.2)	? [Ti/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Cr/Fe]	(F5.2)	? [Cr/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Ni/Fe]	(F5.2)	? [Ni/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Zn/Fe]	(F5.2)	? [Zn/Fe] normalised abundance ratio	[ucd=phys.abund]
#Column	[Y/Fe]	(F5.2)	? [Y/Fe] normalised abundance ratio	[ucd=phys.abund;arith.ratio]
#Column	[Ba/Fe]	(F5.2)	? [Ba/Fe] normalised abundance ratio	[ucd=phys.abund]
#Column	SimbadName	(A17)	Simbad column added by the CDS	[ucd=meta.id]
EW/A	Name	RAJ2000	DEJ2000	Tmax	Amax	[Fe/H]	e_[Fe/H]	HRV	vGC	M	Age	(V-I)0	VMAG	IMAGmu	(V-I)0mu	Teffmu	[Na/Fe]	[Mg/Fe]	[Al/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Cr/Fe]	[Ni/Fe]	[Zn/Fe]	[Y/Fe]	[Ba/Fe]	SimbadName
 	 	# "h:m:s"	"d:m:s"	d	 	[Sun]	[Sun]	km/s	km/s	Sun	Gyr	mag	mag	mag	mag	K	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	
EW/A	MOA-2009-BLG-174S  	18 02 07.70	-31 25 26.40	4963.81	1100	 0.11	 0.08	  -21.4	  -14.3	 0.95	 6.4	 0.77	 5.17	 3.50	 0.69	5774	-0.02	 0.10	-0.03	 0.05	 0.02	 0.08	 0.04	-0.03	-0.02	-0.01	-0.04	MOA 2009-BLG-174
EW/A	MOA-2009-BLG-259S  	17 57 57.51	-29 11 39.40	5016.77	 204	 0.34	 0.19	   81.5	   94.8	 1.17	 1.5	 1.00	 2.78	 2.88	 0.80	5421	 0.32	 0.20	 0.20	 0.13	 0.09	 0.12	 0.07	 0.19	 0.23	-0.06	-0.08	MOA 2009-BLG-259
EW/A	MOA-2010-BLG-167S  	18 11 27.37	-29 41 02.54	5380.88	  22	-0.60	 0.05	  -79.4	  -62.4	 0.87	12.9	 0.80	 4.01	 2.71	 0.70	5751	 0.07	 0.45	 0.33	 0.23	 0.24	 0.33	 0.06	 0.03	 0.15	 0.05	-0.17	MOA 2010-BLG-167
EW/A	MOA-2010-BLG-311S  	18 08 49.98	-25 57 04.27	5365.19	 540	 0.51	 0.19	   44.4	   73.9	 1.27	 3.6	 0.82	 3.54	 3.14	 0.73	5630	 0.21	 0.16	 0.18	 0.07	 0.06	 0.08	 0.04	 0.16	 0.04	     	-0.07	MOA 2010-BLG-311
EW/A	MOA-2010-BLG-446S  	18 07 04.25	-28 03 57.77	5413.89	  61	-0.40	 0.08	   56.5	   77.6	 1.08	 3.1	 0.57	 4.33	     	     	    	 0.12	 0.34	 0.25	 0.19	 0.24	 0.35	     	 0.06	     	     	-0.11	MOA 2010-BLG-446
EW/A	MOA-2010-BLG-523S  	17 57 08.87	-29 44 58.40	5432.63	 290	 0.06	 0.14	   97.3	  108.3	 1.29	 3.3	 0.90	 3.47	     	 0.75	5573	 0.20	 0.18	 0.40	 0.09	 0.33	-0.10	 0.10	 0.03	 0.02	 0.10	 0.01	MOA 2010-BLG-523
EW/A	OGLE-2011-BLG-0950S	17 57 16.62	-32 39 57.15	5786.40	 115	 0.33	 0.10	   91.5	   92.2	 1.27	 2.4	 0.60	 3.78	 3.41	 0.63	5990	 0.22	 0.08	 0.05	 0.13	-0.04	 0.03	     	 0.08	 0.06	     	-0.04	EWS 2011-BLG-0950
EW/A	OGLE-2011-BLG-0969S	18 09 41.13	-31 11 04.70	5790.40	  37	-1.57	 0.25	  -53.0	  -42.1	 0.79	11.6	 0.59	 4.70	 2.94	 0.58	6296	     	 0.38	     	 0.19	 0.36	     	     	     	     	     	-0.29	EWS 2011-BLG-0969
EW/A	MOA-2011-BLG-034S  	18 10 12.23	-27 32 02.39	5638.62	 240	 0.11	 0.15	  127.0	  151.3	 0.96	12.4	 0.79	 4.32	     	 0.65	5922	 0.02	 0.05	 0.08	 0.08	-0.02	 0.03	-0.03	 0.02	 0.05	     	-0.14	MOA 2011-BLG-034
EW/A	MOA-2011-BLG-058S  	18 09 00.36	-29 14 12.66	5646.92	  90	 0.37	 0.25	 -139.7	 -122.0	 1.00	10.1	 0.85	 4.20	 3.29	 0.80	5421	 0.21	 0.12	 0.06	 0.10	 0.01	 0.00	 0.03	 0.13	 0.13	     	-0.11	MOA 2011-BLG-058
EW/A	OGLE-2011-BLG-1072S	17 56 53.94	-28 50 53.31	5775.40	 365	 0.36	 0.12	  -62.2	  -48.0	 1.19	 4.8	 0.79	 3.62	 2.66	 0.79	5450	 0.08	 0.09	 0.10	 0.06	 0.00	 0.07	-0.04	 0.10	-0.08	     	-0.16	EWS 2011-BLG-1072
EW/A	MOA-2011-BLG-090S  	18 10 29.85	-26 38 43.03	5692.26	  38	-0.26	 0.05	   48.2	   75.8	 0.91	14.3	 0.80	 4.26	 3.77	 0.67	5857	 0.12	 0.25	 0.18	 0.12	 0.18	 0.18	-0.01	 0.02	 0.06	     	-0.05	MOA 2011-BLG-090
EW/A	MOA-2011-BLG-104S  	17 54 22.48	-29 50 01.67	5670.31	  44	-0.85	 0.15	  197.3	  206.9	 0.82	11.6	 0.65	 4.04	 3.50	 0.73	5644	     	 0.31	 0.25	 0.31	 0.25	     	     	-0.13	     	     	 0.39	MOA 2011-BLG-104
EW/A	OGLE-2011-BLG-1105S	17 54 48.48	-31 25 57.86	5780.77	  76	 0.00	 0.17	  222.7	  226.8	 0.93	 4.9	 0.75	 5.15	 4.03	 0.78	5480	 0.07	 0.02	     	 0.05	 0.06	 0.06	     	 0.03	     	 0.21	-0.08	EWS 2011-BLG-1105
EW/A	MOA-2011-BLG-174S  	17 57 20.62	-30 22 47.57	5716.13	 160	-0.18	 0.09	  -24.0	  -15.1	 1.09	 3.5	 0.60	 4.34	 4.27	 0.66	5893	     	 0.18	 0.17	 0.08	 0.12	 0.24	     	 0.05	-0.08	     	 0.03	MOA 2011-BLG-174
EW/A	MOA-2011-BLG-191S  	17 51 40.15	-29 53 26.15	5763.32	 375	 0.26	 0.14	  134.0	  142.2	 1.19	 3.8	 0.81	 3.57	 2.50	 0.67	5841	 0.03	 0.07	 0.03	 0.05	 0.02	 0.03	-0.04	-0.02	     	     	-0.07	MOA 2011-BLG-191
EW/A	MOA-2011-BLG-234S  	18 10 56.78	-26 33 48.59	5736.73	1270	-0.02	 0.08	   44.0	   72.1	 0.98	 6.4	 0.71	 4.84	 4.98	 0.74	5606	-0.14	-0.01	-0.04	-0.06	 0.00	-0.03	-0.05	-0.06	     	 0.03	 0.03	MOA 2011-BLG-234
EW/A	MOA-2011-BLG-278S  	17 54 11.32	-30 05 21.56	5744.74	 320	 0.52	 0.39	  229.6	  238.2	 0.95	10.2	 0.84	 4.28	 4.49	 0.86	5263	 0.15	 0.18	 0.11	 0.14	 0.07	 0.05	 0.06	 0.14	 0.26	     	-0.17	MOA 2011-BLG-278
EW/A	OGLE-2011-BLG-1410S	17 32 49.61	-29 23 10.60	5835.10	  26	 0.22	 0.37	  -75.2	  -73.5	 1.02	 6.5	 1.00	 2.88	 2.13	     	    	     	 0.11	 0.11	 0.07	-0.02	 0.05	 0.04	 0.02	     	     	-0.03	EWS 2011-BLG-1410
