What you have here are the final delta(Sr88/Sr86), [Ce/Y] and [Ce/Fe] values from the surface abundances of NuGrid models. We also added our *rotmix* models (including a constant slow mixing calibrated to mimic a possible effect of rotation-induced  (or any other equivalent) mixing) to the table, as they are important to reproduce Sr isotopic ratios in our case (as described in Battino+ 2019).

Model           		delta(Sr88/Sr86)	[Ce/Y]		        [Ce/Fe]

m2z1m2	        		157.25442217258222      0.40395896091382905     0.7793606735355962    
m2z2m2	        		108.29496861890142      0.11810097352271194     0.3768814083460899 
m2z3m2	        		41.96012003420058       -0.09273094871772834    0.13969289751234107
m3z1m2	        		175.04432660311542      0.5252937404780293      1.109214566297379  
m3z2m2	        		206.6589557690952       0.21555845056118975     0.8031846057307463 
m3z3m2	        		178.70189816964975      -0.13184204946184278    0.4749594154386647 
m3z2m2_hCBM     		250.19425768123017      0.2512313563318846      0.9060738044911345 
m3z3m2_hCBM     		228.27053629648765      -0.15887614403327113    0.5095736174546489 
m3z2m2-rotmix.stx2		-47.626097443799644	-0.49913711707361996	0.06816634846656425
m3z2m2-rotmix.st		108.62915911432691	-0.3443638714004415	0.27435494805673893
m3z2m2-rotmix.std2		143.72748942775337	-0.1158021182565936	0.553422899556299
m3z3m2-rotmix.st		-99.90121307521139	-0.45382991590660665	0.039913888764268775
m3z3m2_hCBM-rotmix.stx1.5	-132.9769268127494	-0.5413304585609987	0.055701463733550685
m3z3m2_hCBM-rotmix.st		-27.39401769360972	-0.5616100910123201	0.1201069970354101

